Rating,Company Name,Job Title,Salary,Salaries Reported,Location,,,,,
3.8,Sasken,Android Developer,300000,3,Bangalore,,,,,
4.5,Advanced Millennium Technologies,Android Developer,400000,3,Bangalore,,,,,
4,Unacademy,Android Developer,400000,3,Bangalore,,,,,
3.8,SnapBizz Cloudtech,Android Developer,300000,3,Bangalore,,,,,
4.4,Appoids Tech Solutions,Android Developer,400000,3,Bangalore,,,,,
4.2,Freelancer,Android Developer,400000,3,Bangalore,,,,,
3.7,SQUARE N CUBE,Android Developer,300000,3,Bangalore,,,,,
3.1,Samsung R&D Institute India - Bangalore,Android Developer,300000,3,Bangalore,,,,,
3.7,DXMinds Technologies,Android Developer,350000,3,Bangalore,,,,,
3.6,Endeavour Software Technologies,Android Developer,300000,3,Bangalore,,,,,
3.6,Craft Silicon,Android Developer,300000,3,Bangalore,,,,,
3.9,Baronford & Associates,Android Developer,300000,2,Bangalore,,,,,
3.7,Wibmo,Android Developer,300000,2,Bangalore,,,,,
4.8,Retail Pulse,Android Developer - Intern,400000,2,Bangalore,,,,,
3.9,Bookmyshow,Android Developer,550000,2,Bangalore,,,,,
3.9,Knowledge Flex,Android Developer,300000,2,Bangalore,,,,,
3.6,Novopay Solutions,Android Developer,300000,2,Bangalore,,,,,
3.7,WealthEngine,Android Developer,500000,2,Bangalore,,,,,
4,J.P. Morgan,Android Developer,400000,2,Bangalore,,,,,
3.6,Acviss,Android Developer,300000,2,Bangalore,,,,,
4.1,Fresher,Android Developer,400000,2,Bangalore,,,,,
4.2,MedOnGo,Android Developer,400000,2,Bangalore,,,,,
4,Nuclei,Android Developer,400000,2,Bangalore,,,,,
4.4,eSecForte Technologies,Android Developer,400000,2,Bangalore,,,,,
4.3,Moveinsync Technology Solutions,Android Developer,400000,2,Bangalore,,,,,
3.6,Tech Mahindra,Android Developer,300000,2,Bangalore,,,,,
4,ThiDiff Technologies,Android Developer,400000,2,Bangalore,,,,,
4.9,Retranz Infolabs,Android Developer,400000,2,Bangalore,,,,,
4,FicusLot,Android Developer,400000,2,Bangalore,,,,,
3.7,KrazyBee,Android Developer,300000,2,Bangalore,,,,,
5,powerplay app,Android Developer - Intern,600000,2,Bangalore,,,,,
4.2,Dcoder,Android Developer,400000,2,Bangalore,,,,,
4.6,Masai School,Android Developer,400000,2,Bangalore,,,,,
3.9,Integra Micro Software Services (P),Android Developer,300000,2,Bangalore,,,,,
3.3,DocsApp,Android Developer,300000,2,Bangalore,,,,,
5,Vispara Technosoft,Android Developer,600000,2,Bangalore,,,,,
4.3,Vmoksha Technologies,Android Developer,400000,2,Bangalore,,,,,
2.9,Artoo,Android Developer,250000,2,Bangalore,,,,,
3.8,Edelweiss Financial Services,Android Developer,300000,2,Bangalore,,,,,
4,Hubbler,Android Developer,400000,2,Bangalore,,,,,
3.5,L&T Technology Services,Android Developer,300000,2,Bangalore,,,,,
3,Rossitek Mobile Apps Development,Android Developer,300000,2,Bangalore,,,,,
1,Pricyfy,Android Developer,100000,2,Bangalore,,,,,
2.9,MYNEWCAR,Android Developer,250000,2,Bangalore,,,,,
4.1,IBM,Android Developer,400000,2,Bangalore,,,,,
3.7,Panel Coder Software Technologies,Android Developer,300000,2,Bangalore,,,,,
3.9,Knitter,Android Developer,300000,2,Bangalore,,,,,
3.8,3Embed Software Technologies,Android Developer,300000,2,Bangalore,,,,,
3.4,Web Digital Mantra,Android Developer,300000,2,Bangalore,,,,,
4.5,FitnyTech,Android Developer,400000,2,Bangalore,,,,,
4.8,CRK Gida Technologies,Android Developer,400000,2,Bangalore,,,,,
3.7,FuGenX Technologies,Android Developer,300000,2,Bangalore,,,,,
4.6,Outthinking,Android Developer,400000,2,Bangalore,,,,,
2.8,iMars Technologies,Android Developer,250000,2,Bangalore,,,,,
4.7,GreedyGame,Android Developer - Intern,400000,2,Bangalore,,,,,
4.1,In Time Tec,Android Developer,400000,2,Bangalore,,,,,
4.3,IndGlobal,Android Developer,400000,2,Bangalore,,,,,
4.1,CYBERNETYX Interaktiv,Android Developer,400000,2,Bangalore,,,,,
